Month,Total
Jan-13," -1,70,76,68,079.00 "
Feb-13,-1749948035
Mar-13," -1,69,34,33,690.00 "
Apr-13,-1656725630
May-13,-1747459699
Jun-13," -1,58,43,87,706.00 "
Jul-13,-1876607484
Aug-13,-2046574952
Sep-13," -2,07,56,04,526.00 "
Oct-13,-1991267314
Nov-13,-2160047189
Dec-13," -1,91,60,58,381.00 "
Jan-14,-4571176117
Feb-14,-4707857907
Mar-14," -4,80,95,81,704.00 "
Apr-14,-4626247536
May-14,-4662522405
Jun-14," -4,73,29,05,853.00 "
Jul-14,-4874928698
Aug-14,-4876859367
Sep-14," -4,44,63,19,962.00 "
Oct-14,-4691347388
Nov-14,-4498493572
Dec-14," -3,68,39,56,618.00 "
Jan-15,-3966967574
Feb-15,-4082499566
Mar-15," -4,14,72,29,842.00 "
Apr-15,-4424590609
May-15,-4059737743
Jun-15," -3,81,63,65,265.00 "
Jul-15,-4283263927
Aug-15,-3850019729
Sep-15," -3,67,95,88,756.00 "
Oct-15,-3560758527
Nov-15,-3399601509
Dec-15," -3,33,37,79,246.00 "
Jan-16,-3477671095
Feb-16,-4094912236
Mar-16," -4,13,89,33,447.00 "
Apr-16,-4428584175
May-16,-4611085749
Jun-16," -4,29,72,91,098.00 "
Jul-16,-4616038659
Aug-16,-4353576963
Sep-16," -4,25,23,84,018.00 "
Oct-16,-4250705055
Nov-16,-4514038227
Dec-16," -4,63,78,52,735.00 "
Jan-17,-4639152457
Feb-17,-5204595467
Mar-17," -5,02,60,34,197.00 "
Apr-17,-5217781904
May-17,-5259222333
Jun-17," -5,28,67,25,550.00 "
